"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142959.5",19.5729925767342,-5.89689712940801,0.343566574187691,-13.6709956156622,1.51310630956995e-42,2.31535527490393e-38
"ENSG00000080493.18",17.6219190477826,-4.64246389415696,0.254115050763965,-13.5468713238654,8.26796858949762e-42,6.32582276782463e-38
"ENSG00000135549.15",22.7489525474577,-3.98881858000569,0.211696610201807,-13.1736572321453,1.2442142689183e-39,6.34632224766259e-36
"ENSG00000168079.17",12.6646766529462,-4.19084106059424,0.22818803759316,-13.1069143331985,3.0058099235553e-39,1.14987258625608e-35
"ENSG00000175832.13",17.1927874652606,5.33554866129633,0.320686770327208,12.8959129092749,4.74609238310061e-38,1.45249411292411e-34
"ENSG00000103375.11",397.835882480691,-6.75946510100325,0.433391142852823,-12.8278235323586,1.14536673670172e-37,2.92106696750161e-34
"ENSG00000164379.7",14.8621237096634,6.72105007245809,0.4353643471133,12.681447410808,7.49351842553046e-37,1.63808312782096e-33
"ENSG00000062038.14",9.78015427509598,6.10045013077399,0.387889734696058,12.6336164441523,1.37796589820239e-36,2.63570427178663e-33
"ENSG00000163815.6",12.8719335662978,-3.80537069192683,0.221327706752852,-11.7715523743087,5.47084102518745e-32,9.3016454852687e-29
"ENSG00000197273.4",557.157073664109,-4.81630019728685,0.309673131009881,-11.67779776532,1.65528576362016e-31,2.53291827549157e-28
"ENSG00000103888.17",9.90121812299074,5.5082135104525,0.383511172929044,11.2336062533688,2.78859708907894e-29,3.55592605475716e-26
"ENSG00000163347.6",12.997923863114,4.50740134179433,0.29439970271155,11.2343909023403,2.76393422333561e-29,3.55592605475716e-26
"ENSG00000120708.17",86.2134645446293,3.4004106402209,0.19649639268622,11.1982241004021,4.15988833206141e-29,4.89650855824644e-26
"ENSG00000101255.11",17.2920351477106,3.88737391118808,0.242494633930669,11.0821995011915,1.53065433675493e-28,1.67300519007314e-25
"ENSG00000187699.10",10.6259967511993,-3.60732397671824,0.219424001877691,-10.9711059688908,5.26247211491617e-28,5.36842322016315e-25
"ENSG00000015413.9",103.44980273491,6.77133171073819,0.510862146519187,10.9057438463567,1.08204633638355e-27,1.03484206495882e-24
"ENSG00000099953.10",25.3667125757818,4.76146942767433,0.33332211069449,10.6847680169007,1.19948559997397e-26,1.07967815592951e-23
"ENSG00000114455.13",34.4840114047655,-3.22657805906962,0.189810410203402,-10.6768541140495,1.30623400345249e-26,1.11044404004611e-23
"ENSG00000168447.11",18.7320539310106,-4.01700829362751,0.266066763141052,-10.5875993693136,3.40204699054744e-26,2.73990121312405e-23
"ENSG00000167434.10",102.090358527324,-4.80364853329004,0.34741803967867,-10.3726580710175,3.3020953790798e-25,2.52643317453395e-22
"ENSG00000105464.3",4.79568759363525,5.29573707528712,0.396625951826863,10.3264475166643,5.35055912493045e-25,3.89877408236598e-22
